M249 | Deep Relief Exterior: Battle-Scarred/14,7706
M249 | Deep Relief Exterior: Well-Worn/16,8831
MP9 | Black Sand Exterior: Battle-Scarred/5,36575
Five-SeveN | Coolant Exterior: Minimal Wear/2,535
MP9 | Bioleak Exterior: Field-Tested/16,055
FAMAS | Cyanospatter Exterior: Field-Tested/5,07
Glock-18 | Catacombs Exterior: Well-Worn/24,98665
Dual Berettas | Cobalt Quartz Exterior: Field-Tested/14,57625
Dual Berettas | Cobalt Quartz Exterior: Minimal Wear/16,2916
Dual Berettas | Elite 1.6 Exterior: Field-Tested/5,34885
Dual Berettas | Heist Exterior: Field-Tested/4,36865
Dual Berettas | Stained Exterior: Battle-Scarred/5,34885
Dual Berettas | Stained Exterior: Field-Tested/5,36575
Dual Berettas | Stained Exterior: Well-Worn/4,82495
Dual Berettas | Switch Board Exterior: Field-Tested/17,3732
FAMAS | Crypsis Exterior: Battle-Scarred/18,3703
FAMAS | Cyanospatter Exterior: Battle-Scarred/4,85875
FAMAS | Cyanospatter Exterior: Field-Tested/5,29815
Five-SeveN | Capillary Exterior: Field-Tested/6,8276
Five-SeveN | Coolant Exterior: Battle-Scarred/1,5548
Five-SeveN | Coolant Exterior: Factory New/4,4447
Five-SeveN | Coolant Exterior: Field-Tested/1,3351
Five-SeveN | Coolant Exterior: Minimal Wear/2,56035
Five-SeveN | Coolant Exterior: Well-Worn/1,74915
Five-SeveN | Flame Test Exterior: Battle-Scarred/5,55165
Five-SeveN | Flame Test Exterior: Field-Tested/5,29815
Five-SeveN | Flame Test Exterior: Minimal Wear/8,1627
Five-SeveN | Orange Peel Exterior: Battle-Scarred/5,3404
Five-SeveN | Orange Peel Exterior: Field-Tested/6,5065
Five-SeveN | Scumbria Exterior: Battle-Scarred/5,34885
Five-SeveN | Scumbria Exterior: Field-Tested/5,66995
Five-SeveN | Scumbria Exterior: Well-Worn/5,70375
Five-SeveN | Violent Daimyo Exterior: Field-Tested/12,85245
G3SG1 | Digital Mesh Exterior: Field-Tested/12,21025
G3SG1 | Green Apple Exterior: Factory New/11,8131
G3SG1 | Green Apple Exterior: Minimal Wear/8,91475
G3SG1 | Hunter Exterior: Battle-Scarred/5,2728
G3SG1 | Hunter Exterior: Field-Tested/5,45025
G3SG1 | Hunter Exterior: Minimal Wear/6,9459
G3SG1 | Hunter Exterior: Well-Worn/5,34885
G3SG1 | Orange Crash Exterior: Field-Tested/5,6615
G3SG1 | VariCamo Exterior: Field-Tested/5,45025
G3SG1 | Ventilator Exterior: Field-Tested/5,34885
Galil AR | Akoben Exterior: Field-Tested/12,4891
Galil AR | Black Sand Exterior: Battle-Scarred/8,57675
Galil AR | Black Sand Exterior: Field-Tested/8,9401
Galil AR | Black Sand Exterior: Well-Worn/8,5852
Galil AR | Cold Fusion Exterior: Field-Tested/5,8305
Galil AR | Cold Fusion Exterior: Minimal Wear/10,985
Galil AR | Connexion Exterior: Field-Tested/57,60365
Galil AR | Vandal Exterior: Field-Tested/9,9372
Galil AR | Vandal Exterior: Well-Worn/8,64435
Galil AR | VariCamo Exterior: Field-Tested/5,2221
Galil AR | VariCamo Exterior: Minimal Wear/6,76
Glock-18 | Bunsen Burner Exterior: Field-Tested/16,055
Glock-18 | Bunsen Burner Exterior: Minimal Wear/23,5248
Glock-18 | Candy Apple Exterior: Minimal Wear/52,04355
Glock-18 | Death Rattle Exterior: Field-Tested/6,75155
Glock-18 | Death Rattle Exterior: Minimal Wear/9,0415
Glock-18 | High Beam Exterior: Factory New/17,83795
Glock-18 | Ironwork Exterior: Battle-Scarred/9,8189
Glock-18 | Ironwork Exterior: Field-Tested/10,2752
Glock-18 | Ironwork Exterior: Minimal Wear/13,9594
Glock-18 | Ironwork Exterior: Well-Worn/10,2076
Glock-18 | Moonrise Exterior: Field-Tested/33,6648
Glock-18 | Moonrise Exterior: Minimal Wear/58,9134
Glock-18 | Off World Exterior: Battle-Scarred/9,8696
Glock-18 | Off World Exterior: Field-Tested/10,11465
Glock-18 | Off World Exterior: Minimal Wear/11,83
Glock-18 | Off World Exterior: Well-Worn/9,7175
Glock-18 | Oxide Blaze Exterior: Battle-Scarred/7,267
Glock-18 | Oxide Blaze Exterior: Field-Tested/7,267
Glock-18 | Oxide Blaze Exterior: Minimal Wear/10,2752
Glock-18 | Sacrifice Exterior: Field-Tested/13,0299
Glock-18 | Sacrifice Exterior: Well-Worn/12,4891
Glock-18 | Warhawk Exterior: Battle-Scarred/11,21315
Glock-18 | Warhawk Exterior: Field-Tested/11,83
Glock-18 | Warhawk Exterior: Minimal Wear/17,83795
Glock-18 | Warhawk Exterior: Well-Worn/13,37635
Glock-18 | Wraiths Exterior: Field-Tested/11,28075
M249 | Gator Mesh Exterior: Field-Tested/5,577
M249 | Predator Exterior: Battle-Scarred/4,47005
M249 | Predator Exterior: Field-Tested/4,6306
M4A1-S | Boreal Forest Exterior: Battle-Scarred/6,5741
M4A1-S | Boreal Forest Exterior: Field-Tested/6,4558
M4A1-S | Boreal Forest Exterior: Minimal Wear/22,38405
M4A1-S | Boreal Forest Exterior: Well-Worn/9,6837
M4A1-S | Flashback Exterior: Field-Tested/52,63505
M4A1-S | Nitro Exterior: Field-Tested/60,67945
M4A1-S | Nitro Exterior: Minimal Wear/107,9234
M4A4 | Magnesium Exterior: Battle-Scarred/11,33145
M4A4 | Magnesium Exterior: Field-Tested/19,07165
M4A4 | Magnesium Exterior: Minimal Wear/40,1544
M4A4 | Magnesium Exterior: Well-Worn/13,52
M4A4 | Mainframe Exterior: Factory New/16,2916
M4A4 | Mainframe Exterior: Field-Tested/6,1516
M4A4 | Mainframe Exterior: Minimal Wear/8,91475
M4A4 | Urban DDPAT Exterior: Battle-Scarred/11,83
M4A4 | Urban DDPAT Exterior: Field-Tested/11,8131
M4A4 | Urban DDPAT Exterior: Minimal Wear/51,8492
M4A4 | Urban DDPAT Exterior: Well-Worn/12,3539
MAC-10 | Calf Skin Exterior: Field-Tested/10,30055
MAC-10 | Calf Skin Exterior: Well-Worn/9,295
MAC-10 | Candy Apple Exterior: Factory New/17,73655
MAC-10 | Candy Apple Exterior: Minimal Wear/13,37635
MAC-10 | Carnivore Exterior: Well-Worn/11,63565
MAC-10 | Classic Crate Exterior: Field-Tested/5,90655
MAC-10 | Classic Crate Exterior: Well-Worn/5,8981
MAC-10 | Oceanic Exterior: Field-Tested/6,80225
MAC-10 | Palm Exterior: Field-Tested/6,41355
MAC-10 | Silver Exterior: Factory New/12,7088
MAC-10 | Whitefish Exterior: Battle-Scarred/8,0275
MAC-10 | Whitefish Exterior: Field-Tested/9,8865
MAC-10 | Whitefish Exterior: Well-Worn/9,295
MAG-7 | Carbon Fiber Exterior: Factory New/24,2515
MAG-7 | Carbon Fiber Exterior: Factory New/24,2515
MAG-7 | Carbon Fiber Exterior: Factory New/24,2515
MAG-7 | Metallic DDPAT Exterior: Factory New/17,6605
MAG-7 | Popdog Exterior: Field-Tested/5,19675
MAG-7 | Rust Coat Exterior: Battle-Scarred/1,5041
MAG-7 | Rust Coat Exterior: Field-Tested/1,47875
MAG-7 | Rust Coat Exterior: Minimal Wear/1,9435
MAG-7 | Rust Coat Exterior: Well-Worn/1,36045
MAG-7 | Sonar Exterior: Field-Tested/10,70615
MAG-7 | Sonar Exterior: Minimal Wear/12,6074
MP5-SD | Desert Strike Exterior: Battle-Scarred/5,26435
MP5-SD | Desert Strike Exterior: Field-Tested/5,8812
MP5-SD | Desert Strike Exterior: Minimal Wear/8,23875
MP5-SD | Desert Strike Exterior: Well-Worn/5,4925
MP5-SD | Dirt Drop Exterior: Minimal Wear/1,78295
MP5-SD | Nitro Exterior: Field-Tested/17,04365
MP7 | Akoben Exterior: Field-Tested/5,34885
MP7 | Anodized Navy Exterior: Factory New/61,65965
MP7 | Cirrus Exterior: Field-Tested/9,633
MP7 | Mischief Exterior: Battle-Scarred/8,45
MP7 | Mischief Exterior: Field-Tested/9,295
MP7 | Motherboard Exterior: Field-Tested/5,8305
MP7 | Motherboard Exterior: Minimal Wear/8,91475
MP7 | Urban Hazard Exterior: Field-Tested/5,88965
MP9 | Army Sheen Exterior: Factory New/6,02485
MP9 | Army Sheen Exterior: Field-Tested/3,5152
MP9 | Army Sheen Exterior: Minimal Wear/3,6504
MP9 | Black Sand Exterior: Battle-Scarred/5,3235
MP9 | Black Sand Exterior: Field-Tested/5,2897
MP9 | Black Sand Exterior: Minimal Wear/7,44445
MP9 | Black Sand Exterior: Well-Worn/5,50095
MP9 | Modest Threat Exterior: Field-Tested/5,75445
MP9 | Modest Threat Exterior: Minimal Wear/9,3964
MP9 | Sand Scale Exterior: Field-Tested/8,91475
MP9 | Slide Exterior: Battle-Scarred/1,3013
MP9 | Slide Exterior: Field-Tested/1,2675
MP9 | Slide Exterior: Minimal Wear/2,0787
MP9 | Slide Exterior: Well-Worn/1,42805
Negev | Army Sheen Exterior: Factory New/3,35465
Negev | Boroque Sand Exterior: Battle-Scarred/12,0666
Negev | Boroque Sand Exterior: Well-Worn/13,35945
Negev | Bulkhead Exterior: Factory New/16,90845
