Desert Eagle | Urban Rubble (Minimal Wear)
Dual Berettas | Briar (Factory New)
Dual Berettas | Briar (Minimal Wear)
Dual Berettas | Cartel (Battle-Scarred)
Dual Berettas | Cartel (Well-Worn)
Dual Berettas | Cobalt Quartz (Factory New)
Dual Berettas | Cobalt Quartz (Field-Tested)
Dual Berettas | Cobalt Quartz (Minimal Wear)
Dual Berettas | Contractor (Factory New)
Dual Berettas | Dezastre (Field-Tested)
Dual Berettas | Dualing Dragons (Well-Worn)
Dual Berettas | Elite 1.6 (Battle-Scarred)
Dual Berettas | Elite 1.6 (Factory New)
Dual Berettas | Elite 1.6 (Field-Tested)
Dual Berettas | Elite 1.6 (Minimal Wear)
Dual Berettas | Heist (Battle-Scarred)
Dual Berettas | Heist (Factory New)
Dual Berettas | Heist (Field-Tested)
Dual Berettas | Heist (Minimal Wear)
Dual Berettas | Royal Consorts (Battle-Scarred)
Dual Berettas | Royal Consorts (Field-Tested)
Dual Berettas | Royal Consorts (Well-Worn)
Dual Berettas | Shred (Factory New)
Dual Berettas | Shred (Field-Tested)
Dual Berettas | Shred (Minimal Wear)
Dual Berettas | Stained (Battle-Scarred)
Dual Berettas | Stained (Factory New)
Dual Berettas | Stained (Field-Tested)
Dual Berettas | Stained (Minimal Wear)
Dual Berettas | Stained (Well-Worn)
Dual Berettas | Switch Board (Battle-Scarred)
Dual Berettas | Switch Board (Factory New)
Dual Berettas | Switch Board (Field-Tested)
Dual Berettas | Switch Board (Minimal Wear)
Dual Berettas | Ventilators (Factory New)
Dual Berettas | Ventilators (Field-Tested)
Dual Berettas | Ventilators (Minimal Wear)
FAMAS | Colony (Factory New)
FAMAS | Crypsis (Battle-Scarred)
FAMAS | Crypsis (Factory New)
FAMAS | Crypsis (Field-Tested)
FAMAS | Crypsis (Minimal Wear)
FAMAS | Crypsis (Well-Worn)
FAMAS | Cyanospatter (Battle-Scarred)
FAMAS | Cyanospatter (Field-Tested)
FAMAS | Cyanospatter (Minimal Wear)
FAMAS | Cyanospatter (Well-Worn)
FAMAS | Dark Water (Minimal Wear)
FAMAS | Decommissioned (Battle-Scarred)
FAMAS | Decommissioned (Field-Tested)
FAMAS | Decommissioned (Minimal Wear)
FAMAS | Decommissioned (Well-Worn)
FAMAS | Neural Net (Field-Tested)
